"age","gender","ownhome","married","location","salary","children","history","catalogs","amountspent"
"Middle","Female","Own","Married","Close",140078,1,"High",24,232.7
"Middle","Female","Own","Single","Far",69483,3,"Medium",24,198.3
"Young","Female","Rent","Single","Far",36152,1,"Medium",24,97.2
"Young","Female","Rent","Single","Close",30470,1,"None",6,53.1
"Middle","Female","Own","Single","Close",61794,3,"None",6,127.3
"Old","Female","Own","Married","Far",88587,0,"None",12,256.8
"Middle","Male","Own","Single","Close",73226,0,"High",18,201.7
"Middle","Male","Rent","Married","Close",97105,2,"Medium",24,134.1
"Middle","Male","Own","Married","Close",115398,3,"None",12,289.1
"Old","Female","Own","Married","Close",76917,0,"High",18,149.5
"Old","Male","Own","Married","Far",82880,2,"High",24,357.5
"Middle","Male","Own","Married","Close",93931,3,"None",6,144.8
"Old","Female","Own","Married","Close",97575,0,"High",18,209.7
"Young","Female","Rent","Single","Close",27140,1,"Low",18,62.2
"Old","Female","Own","Married","Far",134917,0,"High",24,405.2
"Young","Female","Rent","Single","Far",97217,1,"Low",6,45.8
"Old","Male","Rent","Married","Close",57203,0,"Medium",6,84.9
"Middle","Female","Rent","Single","Close",73857,0,"None",6,227.7
"Young","Female","Rent","Married","Close",41641,0,"Medium",6,94.1
"Middle","Female","Own","Single","Close",73281,1,"Medium",12,100.6
"Middle","Male","Rent","Married","Far",58221,2,"Medium",12,186.4
"Middle","Male","Own","Married","Close",111100,0,"High",24,383.7
"Middle","Female","Rent","Married","Close",72708,1,"Medium",18,114.2
"Middle","Male","Rent","Single","Close",70415,1,"Medium",6,86.6
"Middle","Male","Own","Married","Close",107908,3,"None",12,164
"Middle","Male","Own","Married","Close",110849,2,"None",6,308.6
"Middle","Male","Rent","Single","Close",60196,0,"Medium",6,122.8
"Middle","Male","Rent","Married","Close",123738,3,"Low",6,36
"Old","Female","Own","Married","Far",63151,0,"High",12,178.9
"Young","Male","Own","Single","Close",42531,3,"Low",18,32.5
"Middle","Female","Rent","Married","Far",124327,1,"High",18,162.4
"Middle","Male","Rent","Married","Close",94023,2,"None",18,298.5
"Middle","Male","Own","Married","Close",182732,0,"High",6,182.5
"Middle","Male","Own","Single","Close",57907,1,"Medium",24,132.7
"Middle","Female","Own","Married","Close",88383,3,"Low",12,84.5
"Old","Male","Rent","Married","Far",81157,0,"None",6,116.1
"Middle","Male","Rent","Married","Close",149600,2,"Medium",6,63.9
"Middle","Male","Rent","Married","Close",102008,1,"High",18,133.5
"Young","Female","Rent","Single","Close",59643,3,"None",6,165.2
"Young","Male","Rent","Single","Far",46376,0,"Low",24,70.7
"Young","Male","Rent","Single","Far",23512,0,"Low",18,66.7
"Old","Male","Own","Married","Close",175167,0,"High",6,159.6
"Middle","Male","Rent","Single","Far",79101,0,"High",18,179.7
"Young","Male","Rent","Single","Close",34048,3,"Low",18,24.1
"Middle","Male","Rent","Married","Far",81916,3,"Medium",18,132.2
"Middle","Female","Own","Single","Far",75351,0,"High",18,178.8
"Middle","Female","Rent","Single","Close",58713,0,"Medium",18,132.5
"Middle","Male","Own","Single","Close",67708,0,"Medium",12,88.9
"Middle","Female","Own","Single","Close",74175,1,"Medium",6,379.9
"Old","Female","Own","Single","Close",32378,0,"Low",18,97.6
"Young","Female","Rent","Single","Far",50797,3,"Low",6,23.8
"Middle","Male","Rent","Single","Far",63579,1,"None",18,183.7
"Middle","Male","Rent","Married","Far",103278,1,"None",12,305.2
"Old","Male","Own","Married","Close",29021,0,"Low",6,40.6
"Middle","Female","Own","Married","Close",122558,3,"Low",12,68
"Middle","Female","Own","Married","Far",57682,1,"High",18,230.4
"Middle","Male","Rent","Single","Far",86844,0,"High",12,251.6
"Young","Male","Rent","Single","Close",26552,0,"Low",12,110.2
"Old","Male","Own","Married","Far",42929,0,"Medium",12,146.2
"Young","Female","Rent","Single","Far",27648,0,"None",18,61.1
"Middle","Male","Rent","Single","Close",71121,1,"Medium",24,171.3
"Old","Female","Rent","Single","Far",27670,0,"None",12,92.4
"Old","Female","Own","Single","Close",44081,0,"Medium",6,77.3
"Young","Male","Rent","Single","Far",35958,1,"None",12,49.6
"Middle","Female","Own","Single","Close",52111,1,"None",6,59.3
"Middle","Male","Own","Single","Close",78199,0,"High",24,219.8
"Old","Male","Own","Married","Close",106708,0,"High",18,193
"Middle","Male","Rent","Single","Close",67840,1,"None",12,136.2
"Middle","Female","Rent","Single","Far",64361,1,"Medium",6,84.5
"Old","Female","Rent","Married","Close",77745,0,"High",24,1000
"Middle","Female","Rent","Single","Far",45361,0,"Medium",24,155
"Young","Female","Rent","Single","Far",44556,1,"Low",6,545.7
"Middle","Female","Rent","Single","Close",109048,3,"Low",18,35.2
"Old","Male","Own","Single","Close",6998153,0,"High",18,172.5
"Middle","Female","Rent","Single","Close",41614,2,"Low",18,104.5
"Young","Male","Rent","Single","Close",44185,0,"Low",6,24.5
"Middle","Male","Own","Single","Far",44675,1,"Medium",12,106.2
"Middle","Male","Rent","Single","Close",55601,0,"Medium",12,66.3
"Young","Male","Rent","Single","Far",264868,0,"Medium",12,72.1
"Old","Male","Rent","Married","Close",193250,0,"High",12,146.5
"Middle","Male","Own","Single","Close",78312,0,"High",24,224.6
"Middle","Male","Own","Married","Far",84461,1,"High",18,233.7
"Middle","Female","Rent","Married","Close",81468,1,"None",24,316.6
"Young","Female","Rent","Single","Close",45541,3,"None",6,83
"Old","Female","Own","Married","Close",53305,0,"Medium",12,304.7
"Middle","Male","Own","Married","Close",294650,2,"Medium",6,60.1
"Middle","Female","Own","Single","Far",63671,0,"High",18,198.3
"Young","Male","Rent","Married","Close",62115,0,"Medium",6,80.7
"Middle","Male","Own","Married","Close",107890,1,"High",12,169.7
"Middle","Male","Own","Married","Far",114570,3,"High",24,190.6
"Middle","Female","Own","Married","Far",92245,1,"High",24,318
"Middle","Male","Own","Married","Far",101217,3,"High",6,112.6
"Middle","Female","Own","Married","Close",129203,0,"High",18,209.6
"Old","Female","Own","Single","Close",38803,3,"None",6,77.3
"Middle","Female","Own","Single","Close",50164,2,"Low",24,57.5
"Middle","Female","Rent","Single","Close",46638,1,"None",6,37.9
"Young","Male","Rent","Married","Close",73133,0,"None",24,179.6
"Old","Male","Rent","Married","Far",83221,0,"High",24,211.6
"Middle","Male","Own","Married","Far",135933,2,"High",18,270.1
"Old","Male","Own","Single","Close",69587,0,"High",24,1000
"Old","Male","Own","Married","Far",131234,0,"High",24,628.9
"Middle","Female","Rent","Single","Close",44339,2,"Low",24,46.1
"Middle","Male","Own","Married","Far",113786,1,"High",18,393.5
"Middle","Male","Own","Married","Close",130090,2,"None",18,360.1
"Old","Female","Rent","Single","Far",17451,0,"Low",18,64.9
"Middle","Male","Own","Married","Close",108656,1,"None",6,105.3
"Middle","Female","Own","Married","Far",106620,0,"High",24,555.9
"Young","Male","Rent","Single","Close",35014,0,"None",6,43.5
"Young","Female","Rent","Single","Close",31116,1,"None",18,70.6
"Middle","Male","Rent","Single","Far",63705,1,"None",18,120.3
"Old","Male","Own","Single","Close",90260,0,"Medium",24,186.1
"Middle","Male","Own","Married","Close",90648,2,"Medium",18,129.9
"Young","Male","Rent","Married","Close",60753,1,"Medium",24,102.7
